Country,Latitude,Longitude,Jan_score,Feb_score,Mar_score,Apr_score,May_score,Jun_score,Jul_score,Aug_score,Sep_score,Oct_score,Nov_score,Dec_score
Canada,49.24966,-123.119339,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0
United States,45.523449,-122.676208,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
United States,37.774929,-122.419418,3.0,5.0,5.0,6.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0
United States,47.606209,-122.33206899999999,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
United States,34.052231,-118.243683,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
United States,32.715328,-117.157257,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
United States,36.174969,-115.137222,3.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0
United States,33.44838,-112.07404299999999,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
United States,35.084492,-106.65113799999999,3.0,4.0,5.0,6.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
United States,39.739151,-104.984703,3.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
United States,29.424120000000002,-98.493629,4.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0
United States,32.783058000000004,-96.806671,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,5.0
United States,29.763281,-95.363274,4.0,6.0,6.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
United States,39.099731,-94.578568,5.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0
United States,44.979969,-93.26384,5.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0,5.0,6.0,6.0,5.0
United States,38.62727,-90.197891,5.0,6.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0
United States,41.850029,-87.650047,6.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,6.0
United States,36.165890000000005,-86.784439,4.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0
United States,39.768378999999996,-86.158043,6.0,6.0,6.0,6.0,5.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0
United States,33.749001,-84.387978,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
United States,42.331429,-83.045753,5.0,6.0,5.0,6.0,5.0,4.0,3.0,3.0,3.0,5.0,6.0,5.0
United States,30.332179999999997,-81.655647,4.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0
United States,35.227089,-80.843132,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0
United States,25.774269,-80.193657,5.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0
United States,40.44062,-79.995888,4.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0
Canada,43.700111,-79.416298,6.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0
United States,39.952339,-75.163788,4.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0
United States,40.714271999999994,-74.005966,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0
Canada,45.508839,-73.587807,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
United States,42.358429,-71.05976899999999,6.0,6.0,6.0,6.0,5.0,4.0,4.0,3.0,4.0,6.0,6.0,5.0
Israel,31.25181,34.791302,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Israel,32.083328,34.799999,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
Israel,29.55805,34.948212,4.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0
Israel,32.815559,34.98917,6.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0
Israel,33.005859,35.09409,6.0,5.0,6.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0
Israel,31.769039000000003,35.216331,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
